[2026-05-29 10:37:31] [크롤링오류] 국민권익위원회 | ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
[2026-05-29 10:37:38] [알림발송] 경기도의회 공고 | 경기도의회 홈페이지 장애인 모니터링 사업자 선정 심사위원 모집
[2026-05-29 10:43:45] [크롤링오류] 의정부시 고시공고 | HTTPSConnectionPool(host='www.ui4u.go.kr', port=443): Max retries exceeded with url: /portal/saeol/gosiList.do?seCode=01&mId=0301040000 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.ui4u.go.kr', port=443) at 0x7f636a461400>, 'Connection to www.ui4u.go.kr timed out. (connect timeout=25)'))
[2026-05-29 10:43:45] [알림발송] 청년DB | 제 3기 산업통상부 2030청년자문단 추가 공개모집 공고
[2026-05-29 10:43:45] [알림발송] 청년DB | 제3기 법무부 2030청년자문단 추가 모집 공고
[2026-05-29 10:43:45] [알림발송] 청년DB | 교육부 2030청년자문단 추가 모집 공고
[2026-05-29 10:43:45] [알림발송] 청년DB | 경기도 저수지댐안전관리위원회 위원 공개모집 공고
[2026-05-29 10:43:45] [알림발송] 청년DB | 기획예산처 제1기 2030 청년자문단 모집 공고
[2026-05-29 10:43:45] [알림발송] 국가교육위원회 | 국가교육위원회 전입희망자(일반직) 모집 공고
[2026-05-29 10:43:45] [알림발송] 국가교육위원회 | 2026년 국가교육위원회 정책연구과제 연구자 재공모 안내
[2026-05-29 10:43:45] [알림발송] 국가교육위원회 | 국가교육위원회 전입희망자(일반직) 모집 공고
[2026-05-29 10:43:45] [알림발송] 국가교육위원회 | 2026년 국가교육위원회 정책연구과제 연구자 재공모 안내(국민의견수렴 활성화 방안)
[2026-05-29 10:43:45] [알림발송] 국가교육위원회 | 국가교육위원회 전입희망자(일반직) 모집 공고
[2026-05-29 10:43:45] [알림발송] 국가교육위원회 | 2026년 국가교육위원회 정책연구과제 연구자 재공모 안내
[2026-05-29 10:43:45] [알림발송] 국민권익위원회 | 국민권익위원회 개방형 직위(중앙행정심판위원회 상임위원) 공개모집 안내
[2026-05-29 10:43:45] [알림발송] 국민권익위원회 | 국민권익위원회 국장급 공모직위(행정심판심의관) 공개모집 안내
[2026-05-29 10:43:45] [알림발송] 국민권익위원회 | (제2026-1호) 국민권익위원회 일반직 공무원(5급, 6급) 일방전입 희망자 모집 공고[~2026.1.19.(월)]
[2026-05-29 10:43:45] [알림발송] 국민권익위원회 | 2026년 권익위 2030 자문단 모집 공고(26.1.13.(화)9:00~26.1.22.(목)18:00)
